Line#,Date,"Voltage (S-VIA 10290124:-1-1), V, Building 1 roof","RH (S-THB 10290124:-1-2), %, Building 1 roof","Solar Radiation (S-LIB 10290124:2375831-1), W/m^2, Building 1 roof","Pressure (S-BPB 10290124:10236707-1), mbar, Building 1 roof","Wind Direction (S-WDA 10290124:10260440-1), *, Building 1 roof","Temperature (S-THB 10290124:10268927-1), *C, Building 1 roof","RH (S-THB 10290124:10268927-2), %, Building 1 roof","Dew Point (S-THB 10290124:10268927-3), *C, Building 1 roof","Battery (U30 BATTERY 10290124:10290124-B), V, Building 1 roof","Wind Speed (S-WSA 10290124:10260479-1), m/s, Building 1 roof","Gust Speed (S-WSA 10290124:10260479-2), m/s, Building 1 roof","Pressure (S-BPB 10290124:10236707-1), mbar, Green Urban Canyon","Wind Direction (S-WDA 10290124:10260440-1), *, Green Urban Canyon","Wind Speed (S-WSA 10290124:10260479-1), m/s, Green Urban Canyon","Gust Speed (S-WSA 10290124:10260479-2), m/s, Green Urban Canyon","Temperature (S-THB 10290124:10268927-1), *C, Green Urban Canyon","RH (S-THB 10290124:10268927-2), %, Green Urban Canyon","Dew Point (S-THB 10290124:10268927-3), *C, Green Urban Canyon","Battery (U30 BATTERY 10290124:10290124-B), V, Green Urban Canyon","Wind Speed (S-WSB 10290124:20214879-1), m/s, Building 1 roof","Gust Speed (S-WSB 10290124:20214879-2), m/s, Building 1 roof"
1,10/03/17 18:50:00,,,1,"1,035.5",175,17.56,60.80,9.92,4.42,,,,,,,,,,,1.5,4.0
2,10/03/17 18:55:00,,,1,"1,035.6",175,17.46,61.70,10.05,4.39,,,,,,,,,,,1.5,3.5
3,10/03/17 19:00:00,,,1,"1,035.5",187,17.30,62.10,9.99,4.38,,,,,,,,,,,0.5,3.0
4,10/03/17 19:05:00,,,1,"1,035.6",183,17.20,62.50,9.99,4.38,,,,,,,,,,,1.0,3.5
5,10/03/17 19:10:00,,,1,"1,035.5",194,17.08,62.90,9.98,4.38,,,,,,,,,,,1.0,3.5
6,10/03/17 19:15:00,,,1,"1,035.5",174,16.94,63.90,10.08,4.38,,,,,,,,,,,1.0,3.0
7,10/03/17 19:20:00,,,1,"1,035.4",191,16.87,64.50,10.15,4.37,,,,,,,,,,,1.5,4.0
8,10/03/17 19:25:00,,,1,"1,035.5",184,16.80,65.30,10.27,4.37,,,,,,,,,,,1.0,3.5
9,10/03/17 19:30:00,,,1,"1,035.4",183,16.63,66.20,10.31,4.37,,,,,,,,,,,1.5,4.0
10,10/03/17 19:35:00,,,1,"1,035.5",187,16.42,66.80,10.24,4.36,,,,,,,,,,,1.5,4.0
11,10/03/17 19:40:00,,,1,"1,035.5",187,16.27,67.50,10.26,4.33,,,,,,,,,,,2.0,5.5
