BUILDING_NUMBER,BUILDING_NAME_LONG,BUILDING_GROUP_LEVEL1,CLUSTER_NUM,BUILDING_TYPE,BUILDING_USE,SITE,CAMPUS_SECTOR,YEAR_CONST_BEGAN,YEAR_OCCUPIED,LATITUDE_WGS,LONGITUDE_WGS,OWNERSHIP_TYPE,BUILDING_HEIGHT,NUM_OF_ROOMS,EXT_GROSS_AREA,ASSIGNABLE_AREA,NON_ASSIGNABLE_AREA,BLDG_SRV,CIRCULAT,CLASSRMS,GENERAL,HEALTH,LABS,MECHANIC,OFFICES,RESIDENT,SPECIAL,STUDY,SUPPORT,UNCLASS,USEABLE_AREA,STRUCT_AREA,LEVEL3_CATEGORY,LEVEL2_CATEGORY,NUMBER_OF_UNITS,UNIT_OF_MEASURE,MMBTU,kBTU,GHG,PI_CONNECTION,METER_STATUS,START_DATE,END_DATE,START_DATE_USE,START_DATE_USE_YEAR
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,25964.0,THR,311.568,311568.0,10.268190792,Y,Chilled Water Only,2017-10-01,2017-10-31,2017-09-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,33469.0,THR,401.628,401628.0,13.236253182,Y,Chilled Water Only,2017-09-01,2017-09-30,2017-08-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,34517.0,THR,414.204,414204.0,13.650714126,Y,Chilled Water Only,2017-06-01,2017-06-30,2017-05-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,25598.0,THR,307.176,307176.0,10.123445844,Y,Chilled Water Only,2017-11-01,2017-11-30,2017-10-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,23630.0,THR,283.56,283560.0,9.34514514,Y,Chilled Water Only,2017-03-01,2017-03-31,2017-02-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,25083.0,THR,300.996,300996.0,9.919774674,Y,Chilled Water Only,2017-04-01,2017-04-30,2017-03-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Steam,Produced,3237.0,MLB,3560.7,3560700.0,213.642,Y,Chilled Water Only,2017-02-01,2017-02-28,2017-01-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Chilled Water,Produced,31675.0,THR,380.1,380100.0,12.52676565,Y,Chilled Water Only,2017-05-01,2017-05-31,2017-04-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Electricity,Produced,149268.0,KWH,509.451684,509451.684,44.831748192,Y,Chilled Water Only,2017-02-01,2017-02-28,2017-01-01,2017
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859045,-71.092357234,OWNED,81.4,400,116038.74,76078.57,28749.48,2154.71,19523.24,12509.24,147.58,0.0,28315.91,7071.53,34998.21,0.0,0.0,0.0,107.63,0.0,104828.05,11210.69,Steam,Produced,621.0,MLB,683.1,683100.0,40.986,Y,Chilled Water Only,2017-07-01,2017-07-31,2017-06-01,2017
